"","Date","Total"
"450","08/31/2021",3
"451","09/01/2019",1
"452","09/01/2020",1
"453","09/02/2019",1
"454","09/02/2020",1
"455","09/03/2019",1
"456","09/03/2020",2
"457","09/03/2021",1
"458","09/04/2019",1
"459","09/04/2021",2
"460","09/05/2019",3
"461","09/05/2021",3
"462","09/06/2020",1
"463","09/06/2021",2
"464","09/07/2020",1
"465","09/09/2021",2
"466","09/10/2020",2
"467","09/10/2021",1
"468","09/11/2019",2
"469","09/11/2021",5
"470","09/12/2019",6
"471","09/12/2020",1
"472","09/12/2021",3
"473","09/14/2019",2
"474","09/14/2020",1
"475","09/14/2021",2
"476","09/15/2019",3
"477","09/15/2020",1
"478","09/15/2021",2
"479","09/16/2020",1
"480","09/16/2021",1
"481","09/17/2021",4
"482","09/18/2020",1
"483","09/18/2021",1
"484","09/19/2021",2
"485","09/21/2020",2
"486","09/21/2021",2
"487","09/22/2019",3
"488","09/22/2021",4
"489","09/23/2019",1
"490","09/23/2021",4
"491","09/24/2020",2
"492","09/25/2019",2
"493","09/25/2020",1
"494","09/25/2021",3
"495","09/26/2019",2
"496","09/27/2020",2
"497","09/29/2020",1
"498","09/30/2019",1
"499","09/30/2021",1
"500","10/01/2019",1
"501","10/01/2020",3
"502","10/02/2019",3
"503","10/02/2020",1
"504","10/03/2019",3
"505","10/03/2020",1
"506","10/04/2019",1
"507","10/05/2019",1
"508","10/05/2020",2
"509","10/06/2019",2
"510","10/06/2020",2
"511","10/07/2019",3
"512","10/07/2020",1
"513","10/08/2019",1
"514","10/08/2020",1
"515","10/09/2020",2
"516","10/10/2019",2
"517","10/10/2020",1
"518","10/11/2019",2
"519","10/13/2019",3
"520","10/13/2020",2
"521","10/14/2019",1
"522","10/15/2019",2
"523","10/16/2019",1
"524","10/16/2020",1
"525","10/17/2019",3
"526","10/18/2019",1
"527","10/18/2020",2
"528","10/19/2020",1
"529","10/20/2020",1
"530","10/21/2019",2
"531","10/22/2019",6
"532","10/22/2020",1
"533","10/23/2020",1
"534","10/24/2019",1
"535","10/24/2020",1
"536","10/25/2019",2
"537","10/25/2020",1
"538","10/26/2019",1
"539","10/27/2019",1
"540","10/27/2020",2
"541","10/28/2019",2
"542","10/29/2019",1
"543","10/30/2019",2
"544","11/01/2020",1
"545","11/03/2019",2
"546","11/03/2020",1
"547","11/04/2019",1
"548","11/05/2019",2
"549","11/06/2019",1
"550","11/06/2020",1
"551","11/07/2019",1
"552","11/07/2020",2
"553","11/10/2019",3
"554","11/11/2019",3
"555","11/11/2020",1
"556","11/12/2019",1
"557","11/13/2019",1
"558","11/14/2019",2
"559","11/15/2019",1
"560","11/17/2019",1
"561","11/17/2020",3
"562","11/18/2019",1
"563","11/18/2020",1
"564","11/19/2019",1
"565","11/19/2020",1
"566","11/20/2019",1
"567","11/20/2020",1
"568","11/21/2019",2
"569","11/21/2020",1
"570","11/22/2019",1
"571","11/22/2020",1
"572","11/24/2019",4
"573","11/25/2019",2
"574","11/26/2019",2
"575","11/27/2019",1
"576","11/28/2019",1
"577","11/28/2020",1
"578","11/29/2019",1
"579","11/29/2020",1
"580","12/02/2019",1
"581","12/04/2019",2
"582","12/04/2020",1
"583","12/05/2019",1
"584","12/07/2019",1
"585","12/07/2020",1
"586","12/08/2019",1
"587","12/09/2020",1
"588","12/11/2019",2
"589","12/12/2019",4
"590","12/12/2020",2
"591","12/13/2020",2
"592","12/16/2020",1
"593","12/18/2019",1
"594","12/18/2020",4
"595","12/21/2020",1
"596","12/22/2019",1
"597","12/23/2019",1
"598","12/24/2019",4
"599","12/25/2019",1
"600","12/26/2019",1
"601","12/26/2020",6
"602","12/27/2019",6
"603","12/27/2020",3
"604","12/28/2019",2
"605","12/28/2020",4
"606","12/29/2019",1
"607","12/30/2019",2
"608","12/30/2020",1
"609","12/31/2019",4
